product,price,quantity,date,region
vermilion morsel,$4.99 ,530,5/4/2018,west
lapis morsel,$1.99 ,517,5/4/2018,north
lapis morsel,$1.99 ,527,5/4/2018,south
lapis morsel,$1.99 ,543,5/4/2018,east
lapis morsel,$1.99 ,502,5/4/2018,west
pink morsel,$3.00 ,526,5/5/2018,north
pink morsel,$3.00 ,555,5/5/2018,south
pink morsel,$3.00 ,525,5/5/2018,east
pink morsel,$3.00 ,529,5/5/2018,west
gold morsel,$9.99 ,562,5/5/2018,north
gold morsel,$9.99 ,539,5/5/2018,south
gold morsel,$9.99 ,536,5/5/2018,east
gold morsel,$9.99 ,510,5/5/2018,west
magenta morsel,$2.50 ,542,5/5/2018,north
magenta morsel,$2.50 ,579,5/5/2018,south
magenta morsel,$2.50 ,575,5/5/2018,east
magenta morsel,$2.50 ,503,5/5/2018,west
chartreuse morsel,$3.00 ,502,5/5/2018,north
chartreuse morsel,$3.00 ,506,5/5/2018,south
chartreuse morsel,$3.00 ,595,5/5/2018,east
chartreuse morsel,$3.00 ,567,5/5/2018,west
periwinkle morsel,$1.25 ,557,5/5/2018,north
periwinkle morsel,$1.25 ,588,5/5/2018,south
periwinkle morsel,$1.25 ,593,5/5/2018,east
periwinkle morsel,$1.25 ,591,5/5/2018,west
vermilion morsel,$4.99 ,576,5/5/2018,north
vermilion morsel,$4.99 ,567,5/5/2018,south
vermilion morsel,$4.99 ,555,5/5/2018,east
vermilion morsel,$4.99 ,570,5/5/2018,west
lapis morsel,$1.99 ,553,5/5/2018,north
lapis morsel,$1.99 ,535,5/5/2018,south
lapis morsel,$1.99 ,598,5/5/2018,east
lapis morsel,$1.99 ,551,5/5/2018,west
pink morsel,$3.00 ,558,5/6/2018,north
pink morsel,$3.00 ,595,5/6/2018,south
pink morsel,$3.00 ,573,5/6/2018,east
pink morsel,$3.00 ,539,5/6/2018,west
gold morsel,$9.99 ,507,5/6/2018,north
gold morsel,$9.99 ,580,5/6/2018,south
gold morsel,$9.99 ,541,5/6/2018,east
gold morsel,$9.99 ,532,5/6/2018,west
magenta morsel,$2.50 ,517,5/6/2018,north
magenta morsel,$2.50 ,543,5/6/2018,south
magenta morsel,$2.50 ,534,5/6/2018,east
magenta morsel,$2.50 ,532,5/6/2018,west
chartreuse morsel,$3.00 ,539,5/6/2018,north
chartreuse morsel,$3.00 ,530,5/6/2018,south
chartreuse morsel,$3.00 ,540,5/6/2018,east
chartreuse morsel,$3.00 ,557,5/6/2018,west
periwinkle morsel,$1.25 ,573,5/6/2018,north
periwinkle morsel,$1.25 ,576,5/6/2018,south
periwinkle morsel,$1.25 ,550,5/6/2018,east
periwinkle morsel,$1.25 ,573,5/6/2018,west
vermilion morsel,$4.99 ,540,5/6/2018,north
vermilion morsel,$4.99 ,550,5/6/2018,south
vermilion morsel,$4.99 ,519,5/6/2018,east
vermilion morsel,$4.99 ,561,5/6/2018,west
lapis morsel,$1.99 ,550,5/6/2018,north
lapis morsel,$1.99 ,502,5/6/2018,south
lapis morsel,$1.99 ,543,5/6/2018,east
lapis morsel,$1.99 ,562,5/6/2018,west
pink morsel,$3.00 ,598,5/7/2018,north
pink morsel,$3.00 ,521,5/7/2018,south
pink morsel,$3.00 ,576,5/7/2018,east
pink morsel,$3.00 ,580,5/7/2018,west
gold morsel,$9.99 ,574,5/7/2018,north
gold morsel,$9.99 ,559,5/7/2018,south
gold morsel,$9.99 ,546,5/7/2018,east
gold morsel,$9.99 ,556,5/7/2018,west
magenta morsel,$2.50 ,505,5/7/2018,north
magenta morsel,$2.50 ,584,5/7/2018,south
magenta morsel,$2.50 ,569,5/7/2018,east
magenta morsel,$2.50 ,518,5/7/2018,west
chartreuse morsel,$3.00 ,563,5/7/2018,north
chartreuse morsel,$3.00 ,600,5/7/2018,south
chartreuse morsel,$3.00 ,511,5/7/2018,east
chartreuse morsel,$3.00 ,597,5/7/2018,west
periwinkle morsel,$1.25 ,589,5/7/2018,north
periwinkle morsel,$1.25 ,591,5/7/2018,south
periwinkle morsel,$1.25 ,513,5/7/2018,east
periwinkle morsel,$1.25 ,591,5/7/2018,west
vermilion morsel,$4.99 ,501,5/7/2018,north
vermilion morsel,$4.99 ,567,5/7/2018,south
vermilion morsel,$4.99 ,589,5/7/2018,east
vermilion morsel,$4.99 ,570,5/7/2018,west
lapis morsel,$1.99 ,581,5/7/2018,north
lapis morsel,$1.99 ,574,5/7/2018,south
lapis morsel,$1.99 ,576,5/7/2018,east
lapis morsel,$1.99 ,553,5/7/2018,west
pink morsel,$3.00 ,539,5/8/2018,north
pink morsel,$3.00 ,550,5/8/2018,south
pink morsel,$3.00 ,576,5/8/2018,east
pink morsel,$3.00 ,545,5/8/2018,west
gold morsel,$9.99 ,572,5/8/2018,north
gold morsel,$9.99 ,523,5/8/2018,south
gold morsel,$9.99 ,555,5/8/2018,east
gold morsel,$9.99 ,530,5/8/2018,west
magenta morsel,$2.50 ,561,5/8/2018,north
magenta morsel,$2.50 ,512,5/8/2018,south
magenta morsel,$2.50 ,596,5/8/2018,east
magenta morsel,$2.50 ,577,5/8/2018,west
chartreuse morsel,$3.00 ,532,5/8/2018,north
chartreuse morsel,$3.00 ,544,5/8/2018,south
chartreuse morsel,$3.00 ,557,5/8/2018,east
chartreuse morsel,$3.00 ,541,5/8/2018,west
periwinkle morsel,$1.25 ,540,5/8/2018,north
periwinkle morsel,$1.25 ,545,5/8/2018,south
periwinkle morsel,$1.25 ,539,5/8/2018,east
periwinkle morsel,$1.25 ,527,5/8/2018,west
vermilion morsel,$4.99 ,566,5/8/2018,north
vermilion morsel,$4.99 ,584,5/8/2018,south
vermilion morsel,$4.99 ,591,5/8/2018,east
vermilion morsel,$4.99 ,570,5/8/2018,west
lapis morsel,$1.99 ,578,5/8/2018,north
lapis morsel,$1.99 ,507,5/8/2018,south
lapis morsel,$1.99 ,568,5/8/2018,east
lapis morsel,$1.99 ,578,5/8/2018,west
pink morsel,$3.00 ,528,5/9/2018,north
pink morsel,$3.00 ,549,5/9/2018,south
pink morsel,$3.00 ,517,5/9/2018,east
pink morsel,$3.00 ,504,5/9/2018,west
gold morsel,$9.99 ,503,5/9/2018,north
gold morsel,$9.99 ,508,5/9/2018,south
gold morsel,$9.99 ,543,5/9/2018,east
gold morsel,$9.99 ,584,5/9/2018,west
magenta morsel,$2.50 ,540,5/9/2018,north
magenta morsel,$2.50 ,501,5/9/2018,south
magenta morsel,$2.50 ,559,5/9/2018,east
magenta morsel,$2.50 ,502,5/9/2018,west
chartreuse morsel,$3.00 ,583,5/9/2018,north
chartreuse morsel,$3.00 ,504,5/9/2018,south
chartreuse morsel,$3.00 ,531,5/9/2018,east
chartreuse morsel,$3.00 ,501,5/9/2018,west
periwinkle morsel,$1.25 ,520,5/9/2018,north
periwinkle morsel,$1.25 ,590,5/9/2018,south
periwinkle morsel,$1.25 ,559,5/9/2018,east
periwinkle morsel,$1.25 ,507,5/9/2018,west
vermilion morsel,$4.99 ,505,5/9/2018,north
vermilion morsel,$4.99 ,538,5/9/2018,south
vermilion morsel,$4.99 ,542,5/9/2018,east
vermilion morsel,$4.99 ,584,5/9/2018,west
lapis morsel,$1.99 ,556,5/9/2018,north
lapis morsel,$1.99 ,508,5/9/2018,south
lapis morsel,$1.99 ,527,5/9/2018,east
lapis morsel,$1.99 ,545,5/9/2018,west
pink morsel,$3.00 ,579,5/10/2018,north
pink morsel,$3.00 ,517,5/10/2018,south
pink morsel,$3.00 ,505,5/10/2018,east
pink morsel,$3.00 ,572,5/10/2018,west
gold morsel,$9.99 ,579,5/10/2018,north
gold morsel,$9.99 ,559,5/10/2018,south
gold morsel,$9.99 ,537,5/10/2018,east
gold morsel,$9.99 ,581,5/10/2018,west
magenta morsel,$2.50 ,596,5/10/2018,north
magenta morsel,$2.50 ,573,5/10/2018,south
magenta morsel,$2.50 ,557,5/10/2018,east
magenta morsel,$2.50 ,589,5/10/2018,west
chartreuse morsel,$3.00 ,598,5/10/2018,north
chartreuse morsel,$3.00 ,551,5/10/2018,south
chartreuse morsel,$3.00 ,512,5/10/2018,east
chartreuse morsel,$3.00 ,591,5/10/2018,west
periwinkle morsel,$1.25 ,538,5/10/2018,north
periwinkle morsel,$1.25 ,592,5/10/2018,south
periwinkle morsel,$1.25 ,509,5/10/2018,east
periwinkle morsel,$1.25 ,570,5/10/2018,west
vermilion morsel,$4.99 ,593,5/10/2018,north
vermilion morsel,$4.99 ,581,5/10/2018,south
vermilion morsel,$4.99 ,535,5/10/2018,east
vermilion morsel,$4.99 ,513,5/10/2018,west
lapis morsel,$1.99 ,508,5/10/2018,north
lapis morsel,$1.99 ,521,5/10/2018,south
lapis morsel,$1.99 ,554,5/10/2018,east
lapis morsel,$1.99 ,553,5/10/2018,west
pink morsel,$3.00 ,582,5/11/2018,north
pink morsel,$3.00 ,559,5/11/2018,south
pink morsel,$3.00 ,528,5/11/2018,east
pink morsel,$3.00 ,539,5/11/2018,west
gold morsel,$9.99 ,515,5/11/2018,north
gold morsel,$9.99 ,516,5/11/2018,south
gold morsel,$9.99 ,547,5/11/2018,east
gold morsel,$9.99 ,535,5/11/2018,west
magenta morsel,$2.50 ,586,5/11/2018,north
magenta morsel,$2.50 ,540,5/11/2018,south
magenta morsel,$2.50 ,545,5/11/2018,east
magenta morsel,$2.50 ,555,5/11/2018,west
chartreuse morsel,$3.00 ,500,5/11/2018,north
chartreuse morsel,$3.00 ,523,5/11/2018,south
chartreuse morsel,$3.00 ,584,5/11/2018,east
chartreuse morsel,$3.00 ,525,5/11/2018,west
periwinkle morsel,$1.25 ,535,5/11/2018,north
periwinkle morsel,$1.25 ,596,5/11/2018,south
periwinkle morsel,$1.25 ,524,5/11/2018,east
periwinkle morsel,$1.25 ,531,5/11/2018,west
vermilion morsel,$4.99 ,551,5/11/2018,north
vermilion morsel,$4.99 ,538,5/11/2018,south
vermilion morsel,$4.99 ,558,5/11/2018,east
vermilion morsel,$4.99 ,590,5/11/2018,west
lapis morsel,$1.99 ,556,5/11/2018,north
lapis morsel,$1.99 ,562,5/11/2018,south
lapis morsel,$1.99 ,595,5/11/2018,east
lapis morsel,$1.99 ,518,5/11/2018,west
pink morsel,$3.00 ,581,5/12/2018,north
pink morsel,$3.00 ,511,5/12/2018,south
pink morsel,$3.00 ,507,5/12/2018,east
pink morsel,$3.00 ,526,5/12/2018,west
gold morsel,$9.99 ,585,5/12/2018,north
gold morsel,$9.99 ,544,5/12/2018,south
gold morsel,$9.99 ,584,5/12/2018,east
gold morsel,$9.99 ,578,5/12/2018,west
magenta morsel,$2.50 ,507,5/12/2018,north
magenta morsel,$2.50 ,547,5/12/2018,south
magenta morsel,$2.50 ,568,5/12/2018,east
magenta morsel,$2.50 ,599,5/12/2018,west
chartreuse morsel,$3.00 ,592,5/12/2018,north
chartreuse morsel,$3.00 ,516,5/12/2018,south
chartreuse morsel,$3.00 ,549,5/12/2018,east
chartreuse morsel,$3.00 ,583,5/12/2018,west
periwinkle morsel,$1.25 ,561,5/12/2018,north
periwinkle morsel,$1.25 ,586,5/12/2018,south
periwinkle morsel,$1.25 ,564,5/12/2018,east
periwinkle morsel,$1.25 ,511,5/12/2018,west
vermilion morsel,$4.99 ,584,5/12/2018,north
vermilion morsel,$4.99 ,536,5/12/2018,south
vermilion morsel,$4.99 ,522,5/12/2018,east
vermilion morsel,$4.99 ,589,5/12/2018,west
lapis morsel,$1.99 ,566,5/12/2018,north
lapis morsel,$1.99 ,501,5/12/2018,south
lapis morsel,$1.99 ,526,5/12/2018,east
lapis morsel,$1.99 ,501,5/12/2018,west
pink morsel,$3.00 ,515,5/13/2018,north
pink morsel,$3.00 ,571,5/13/2018,south
pink morsel,$3.00 ,555,5/13/2018,east
pink morsel,$3.00 ,548,5/13/2018,west
gold morsel,$9.99 ,595,5/13/2018,north
gold morsel,$9.99 ,583,5/13/2018,south
gold morsel,$9.99 ,529,5/13/2018,east
gold morsel,$9.99 ,566,5/13/2018,west
magenta morsel,$2.50 ,574,5/13/2018,north
magenta morsel,$2.50 ,522,5/13/2018,south
magenta morsel,$2.50 ,549,5/13/2018,east
magenta morsel,$2.50 ,580,5/13/2018,west
chartreuse morsel,$3.00 ,516,5/13/2018,north
chartreuse morsel,$3.00 ,520,5/13/2018,south
chartreuse morsel,$3.00 ,564,5/13/2018,east
chartreuse morsel,$3.00 ,540,5/13/2018,west
periwinkle morsel,$1.25 ,500,5/13/2018,north
periwinkle morsel,$1.25 ,515,5/13/2018,south
periwinkle morsel,$1.25 ,565,5/13/2018,east
periwinkle morsel,$1.25 ,500,5/13/2018,west
vermilion morsel,$4.99 ,567,5/13/2018,north
vermilion morsel,$4.99 ,501,5/13/2018,south
vermilion morsel,$4.99 ,589,5/13/2018,east
vermilion morsel,$4.99 ,580,5/13/2018,west
lapis morsel,$1.99 ,557,5/13/2018,north
lapis morsel,$1.99 ,502,5/13/2018,south
lapis morsel,$1.99 ,594,5/13/2018,east
lapis morsel,$1.99 ,531,5/13/2018,west
pink morsel,$3.00 ,592,5/14/2018,north
pink morsel,$3.00 ,520,5/14/2018,south
pink morsel,$3.00 ,548,5/14/2018,east
pink morsel,$3.00 ,501,5/14/2018,west
gold morsel,$9.99 ,538,5/14/2018,north
gold morsel,$9.99 ,534,5/14/2018,south
gold morsel,$9.99 ,525,5/14/2018,east
gold morsel,$9.99 ,505,5/14/2018,west
magenta morsel,$2.50 ,569,5/14/2018,north
magenta morsel,$2.50 ,509,5/14/2018,south
magenta morsel,$2.50 ,550,5/14/2018,east
magenta morsel,$2.50 ,564,5/14/2018,west
chartreuse morsel,$3.00 ,585,5/14/2018,north
chartreuse morsel,$3.00 ,511,5/14/2018,south
chartreuse morsel,$3.00 ,580,5/14/2018,east
chartreuse morsel,$3.00 ,556,5/14/2018,west
periwinkle morsel,$1.25 ,582,5/14/2018,north
periwinkle morsel,$1.25 ,525,5/14/2018,south
periwinkle morsel,$1.25 ,563,5/14/2018,east
periwinkle morsel,$1.25 ,519,5/14/2018,west
vermilion morsel,$4.99 ,588,5/14/2018,north
vermilion morsel,$4.99 ,555,5/14/2018,south
vermilion morsel,$4.99 ,503,5/14/2018,east
vermilion morsel,$4.99 ,573,5/14/2018,west
lapis morsel,$1.99 ,570,5/14/2018,north
lapis morsel,$1.99 ,511,5/14/2018,south
lapis morsel,$1.99 ,574,5/14/2018,east
lapis morsel,$1.99 ,561,5/14/2018,west
pink morsel,$3.00 ,600,5/15/2018,north
pink morsel,$3.00 ,586,5/15/2018,south
pink morsel,$3.00 ,567,5/15/2018,east
pink morsel,$3.00 ,557,5/15/2018,west
gold morsel,$9.99 ,566,5/15/2018,north
gold morsel,$9.99 ,503,5/15/2018,south
gold morsel,$9.99 ,562,5/15/2018,east
gold morsel,$9.99 ,544,5/15/2018,west
magenta morsel,$2.50 ,504,5/15/2018,north
magenta morsel,$2.50 ,583,5/15/2018,south
magenta morsel,$2.50 ,524,5/15/2018,east
magenta morsel,$2.50 ,516,5/15/2018,west
chartreuse morsel,$3.00 ,590,5/15/2018,north
chartreuse morsel,$3.00 ,542,5/15/2018,south
chartreuse morsel,$3.00 ,565,5/15/2018,east
chartreuse morsel,$3.00 ,533,5/15/2018,west
periwinkle morsel,$1.25 ,561,5/15/2018,north
periwinkle morsel,$1.25 ,577,5/15/2018,south
periwinkle morsel,$1.25 ,556,5/15/2018,east
periwinkle morsel,$1.25 ,584,5/15/2018,west
vermilion morsel,$4.99 ,519,5/15/2018,north
vermilion morsel,$4.99 ,594,5/15/2018,south
vermilion morsel,$4.99 ,524,5/15/2018,east
vermilion morsel,$4.99 ,579,5/15/2018,west
lapis morsel,$1.99 ,524,5/15/2018,north
lapis morsel,$1.99 ,504,5/15/2018,south
lapis morsel,$1.99 ,520,5/15/2018,east
lapis morsel,$1.99 ,556,5/15/2018,west
pink morsel,$3.00 ,531,5/16/2018,north
pink morsel,$3.00 ,539,5/16/2018,south
pink morsel,$3.00 ,542,5/16/2018,east
pink morsel,$3.00 ,543,5/16/2018,west
gold morsel,$9.99 ,565,5/16/2018,north
gold morsel,$9.99 ,583,5/16/2018,south
gold morsel,$9.99 ,523,5/16/2018,east
gold morsel,$9.99 ,519,5/16/2018,west
magenta morsel,$2.50 ,559,5/16/2018,north
magenta morsel,$2.50 ,514,5/16/2018,south
magenta morsel,$2.50 ,598,5/16/2018,east
magenta morsel,$2.50 ,548,5/16/2018,west
chartreuse morsel,$3.00 ,577,5/16/2018,north
chartreuse morsel,$3.00 ,585,5/16/2018,south
chartreuse morsel,$3.00 ,574,5/16/2018,east
chartreuse morsel,$3.00 ,559,5/16/2018,west
periwinkle morsel,$1.25 ,580,5/16/2018,north
periwinkle morsel,$1.25 ,572,5/16/2018,south
periwinkle morsel,$1.25 ,512,5/16/2018,east
periwinkle morsel,$1.25 ,550,5/16/2018,west
vermilion morsel,$4.99 ,563,5/16/2018,north
vermilion morsel,$4.99 ,574,5/16/2018,south
vermilion morsel,$4.99 ,563,5/16/2018,east
vermilion morsel,$4.99 ,538,5/16/2018,west
lapis morsel,$1.99 ,519,5/16/2018,north
lapis morsel,$1.99 ,558,5/16/2018,south
lapis morsel,$1.99 ,528,5/16/2018,east
lapis morsel,$1.99 ,510,5/16/2018,west
pink morsel,$3.00 ,576,5/17/2018,north
pink morsel,$3.00 ,502,5/17/2018,south
pink morsel,$3.00 ,530,5/17/2018,east
pink morsel,$3.00 ,542,5/17/2018,west
gold morsel,$9.99 ,584,5/17/2018,north
gold morsel,$9.99 ,548,5/17/2018,south
gold morsel,$9.99 ,524,5/17/2018,east
gold morsel,$9.99 ,538,5/17/2018,west
magenta morsel,$2.50 ,589,5/17/2018,north
magenta morsel,$2.50 ,597,5/17/2018,south
magenta morsel,$2.50 ,588,5/17/2018,east
magenta morsel,$2.50 ,579,5/17/2018,west
chartreuse morsel,$3.00 ,550,5/17/2018,north
chartreuse morsel,$3.00 ,596,5/17/2018,south
chartreuse morsel,$3.00 ,594,5/17/2018,east
chartreuse morsel,$3.00 ,572,5/17/2018,west
periwinkle morsel,$1.25 ,589,5/17/2018,north
periwinkle morsel,$1.25 ,500,5/17/2018,south
periwinkle morsel,$1.25 ,519,5/17/2018,east
periwinkle morsel,$1.25 ,533,5/17/2018,west
vermilion morsel,$4.99 ,537,5/17/2018,north
vermilion morsel,$4.99 ,560,5/17/2018,south
vermilion morsel,$4.99 ,597,5/17/2018,east
vermilion morsel,$4.99 ,522,5/17/2018,west
lapis morsel,$1.99 ,519,5/17/2018,north
lapis morsel,$1.99 ,534,5/17/2018,south
lapis morsel,$1.99 ,565,5/17/2018,east
lapis morsel,$1.99 ,519,5/17/2018,west
pink morsel,$3.00 ,594,5/18/2018,north
pink morsel,$3.00 ,524,5/18/2018,south
pink morsel,$3.00 ,513,5/18/2018,east
pink morsel,$3.00 ,503,5/18/2018,west
gold morsel,$9.99 ,551,5/18/2018,north
gold morsel,$9.99 ,518,5/18/2018,south
gold morsel,$9.99 ,509,5/18/2018,east
gold morsel,$9.99 ,592,5/18/2018,west
magenta morsel,$2.50 ,521,5/18/2018,north
magenta morsel,$2.50 ,533,5/18/2018,south
magenta morsel,$2.50 ,557,5/18/2018,east
magenta morsel,$2.50 ,564,5/18/2018,west
chartreuse morsel,$3.00 ,576,5/18/2018,north
chartreuse morsel,$3.00 ,528,5/18/2018,south
chartreuse morsel,$3.00 ,515,5/18/2018,east
chartreuse morsel,$3.00 ,578,5/18/2018,west
periwinkle morsel,$1.25 ,529,5/18/2018,north
periwinkle morsel,$1.25 ,500,5/18/2018,south
periwinkle morsel,$1.25 ,570,5/18/2018,east
periwinkle morsel,$1.25 ,574,5/18/2018,west
vermilion morsel,$4.99 ,529,5/18/2018,north
vermilion morsel,$4.99 ,555,5/18/2018,south
vermilion morsel,$4.99 ,518,5/18/2018,east
vermilion morsel,$4.99 ,536,5/18/2018,west
lapis morsel,$1.99 ,530,5/18/2018,north
lapis morsel,$1.99 ,560,5/18/2018,south
lapis morsel,$1.99 ,507,5/18/2018,east
lapis morsel,$1.99 ,581,5/18/2018,west
pink morsel,$3.00 ,596,5/19/2018,north
pink morsel,$3.00 ,571,5/19/2018,south
pink morsel,$3.00 ,542,5/19/2018,east
pink morsel,$3.00 ,543,5/19/2018,west
gold morsel,$9.99 ,525,5/19/2018,north
gold morsel,$9.99 ,588,5/19/2018,south
gold morsel,$9.99 ,557,5/19/2018,east
gold morsel,$9.99 ,503,5/19/2018,west
magenta morsel,$2.50 ,569,5/19/2018,north
magenta morsel,$2.50 ,570,5/19/2018,south
magenta morsel,$2.50 ,544,5/19/2018,east
magenta morsel,$2.50 ,530,5/19/2018,west
chartreuse morsel,$3.00 ,567,5/19/2018,north
chartreuse morsel,$3.00 ,579,5/19/2018,south
chartreuse morsel,$3.00 ,505,5/19/2018,east
chartreuse morsel,$3.00 ,540,5/19/2018,west
periwinkle morsel,$1.25 ,538,5/19/2018,north
periwinkle morsel,$1.25 ,571,5/19/2018,south
periwinkle morsel,$1.25 ,557,5/19/2018,east
periwinkle morsel,$1.25 ,540,5/19/2018,west
vermilion morsel,$4.99 ,565,5/19/2018,north
vermilion morsel,$4.99 ,567,5/19/2018,south
vermilion morsel,$4.99 ,590,5/19/2018,east
vermilion morsel,$4.99 ,533,5/19/2018,west
lapis morsel,$1.99 ,503,5/19/2018,north
lapis morsel,$1.99 ,571,5/19/2018,south
lapis morsel,$1.99 ,593,5/19/2018,east
lapis morsel,$1.99 ,580,5/19/2018,west
pink morsel,$3.00 ,516,5/20/2018,north
pink morsel,$3.00 ,572,5/20/2018,south
pink morsel,$3.00 ,584,5/20/2018,east
pink morsel,$3.00 ,546,5/20/2018,west
gold morsel,$9.99 ,570,5/20/2018,north
gold morsel,$9.99 ,523,5/20/2018,south
gold morsel,$9.99 ,547,5/20/2018,east
gold morsel,$9.99 ,576,5/20/2018,west
magenta morsel,$2.50 ,598,5/20/2018,north
magenta morsel,$2.50 ,560,5/20/2018,south
magenta morsel,$2.50 ,523,5/20/2018,east
magenta morsel,$2.50 ,525,5/20/2018,west
chartreuse morsel,$3.00 ,538,5/20/2018,north
chartreuse morsel,$3.00 ,551,5/20/2018,south
chartreuse morsel,$3.00 ,598,5/20/2018,east
chartreuse morsel,$3.00 ,507,5/20/2018,west
periwinkle morsel,$1.25 ,571,5/20/2018,north
periwinkle morsel,$1.25 ,533,5/20/2018,south
periwinkle morsel,$1.25 ,563,5/20/2018,east
periwinkle morsel,$1.25 ,521,5/20/2018,west
vermilion morsel,$4.99 ,596,5/20/2018,north
vermilion morsel,$4.99 ,559,5/20/2018,south
vermilion morsel,$4.99 ,569,5/20/2018,east
vermilion morsel,$4.99 ,556,5/20/2018,west
lapis morsel,$1.99 ,557,5/20/2018,north
lapis morsel,$1.99 ,500,5/20/2018,south
lapis morsel,$1.99 ,504,5/20/2018,east
lapis morsel,$1.99 ,564,5/20/2018,west
pink morsel,$3.00 ,525,5/21/2018,north
pink morsel,$3.00 ,557,5/21/2018,south
pink morsel,$3.00 ,542,5/21/2018,east
pink morsel,$3.00 ,524,5/21/2018,west
gold morsel,$9.99 ,513,5/21/2018,north
gold morsel,$9.99 ,544,5/21/2018,south
gold morsel,$9.99 ,549,5/21/2018,east
gold morsel,$9.99 ,575,5/21/2018,west
magenta morsel,$2.50 ,526,5/21/2018,north
magenta morsel,$2.50 ,581,5/21/2018,south
magenta morsel,$2.50 ,521,5/21/2018,east
magenta morsel,$2.50 ,531,5/21/2018,west
chartreuse morsel,$3.00 ,522,5/21/2018,north
chartreuse morsel,$3.00 ,503,5/21/2018,south
chartreuse morsel,$3.00 ,525,5/21/2018,east
chartreuse morsel,$3.00 ,545,5/21/2018,west
periwinkle morsel,$1.25 ,518,5/21/2018,north
periwinkle morsel,$1.25 ,540,5/21/2018,south
periwinkle morsel,$1.25 ,502,5/21/2018,east
periwinkle morsel,$1.25 ,513,5/21/2018,west
vermilion morsel,$4.99 ,596,5/21/2018,north
vermilion morsel,$4.99 ,506,5/21/2018,south
vermilion morsel,$4.99 ,591,5/21/2018,east
vermilion morsel,$4.99 ,592,5/21/2018,west
lapis morsel,$1.99 ,594,5/21/2018,north
lapis morsel,$1.99 ,517,5/21/2018,south
lapis morsel,$1.99 ,550,5/21/2018,east
lapis morsel,$1.99 ,563,5/21/2018,west
pink morsel,$3.00 ,524,5/22/2018,north
pink morsel,$3.00 ,523,5/22/2018,south
pink morsel,$3.00 ,527,5/22/2018,east
pink morsel,$3.00 ,507,5/22/2018,west
gold morsel,$9.99 ,565,5/22/2018,north
gold morsel,$9.99 ,553,5/22/2018,south
gold morsel,$9.99 ,537,5/22/2018,east
gold morsel,$9.99 ,575,5/22/2018,west
magenta morsel,$2.50 ,550,5/22/2018,north
magenta morsel,$2.50 ,564,5/22/2018,south
magenta morsel,$2.50 ,533,5/22/2018,east
magenta morsel,$2.50 ,589,5/22/2018,west
chartreuse morsel,$3.00 ,526,5/22/2018,north
chartreuse morsel,$3.00 ,506,5/22/2018,south
chartreuse morsel,$3.00 ,520,5/22/2018,east
chartreuse morsel,$3.00 ,508,5/22/2018,west
periwinkle morsel,$1.25 ,528,5/22/2018,north
periwinkle morsel,$1.25 ,544,5/22/2018,south
periwinkle morsel,$1.25 ,560,5/22/2018,east
periwinkle morsel,$1.25 ,600,5/22/2018,west
vermilion morsel,$4.99 ,594,5/22/2018,north
vermilion morsel,$4.99 ,572,5/22/2018,south
vermilion morsel,$4.99 ,543,5/22/2018,east
vermilion morsel,$4.99 ,528,5/22/2018,west
lapis morsel,$1.99 ,556,5/22/2018,north
lapis morsel,$1.99 ,585,5/22/2018,south
lapis morsel,$1.99 ,565,5/22/2018,east
lapis morsel,$1.99 ,593,5/22/2018,west
pink morsel,$3.00 ,547,5/23/2018,north
pink morsel,$3.00 ,564,5/23/2018,south
pink morsel,$3.00 ,571,5/23/2018,east
pink morsel,$3.00 ,521,5/23/2018,west
gold morsel,$9.99 ,562,5/23/2018,north
gold morsel,$9.99 ,532,5/23/2018,south
gold morsel,$9.99 ,501,5/23/2018,east
gold morsel,$9.99 ,600,5/23/2018,west
magenta morsel,$2.50 ,596,5/23/2018,north
magenta morsel,$2.50 ,594,5/23/2018,south
magenta morsel,$2.50 ,574,5/23/2018,east
magenta morsel,$2.50 ,580,5/23/2018,west
chartreuse morsel,$3.00 ,564,5/23/2018,north
chartreuse morsel,$3.00 ,504,5/23/2018,south
chartreuse morsel,$3.00 ,585,5/23/2018,east
chartreuse morsel,$3.00 ,540,5/23/2018,west
periwinkle morsel,$1.25 ,524,5/23/2018,north
periwinkle morsel,$1.25 ,543,5/23/2018,south
periwinkle morsel,$1.25 ,595,5/23/2018,east
periwinkle morsel,$1.25 ,581,5/23/2018,west
vermilion morsel,$4.99 ,544,5/23/2018,north
vermilion morsel,$4.99 ,532,5/23/2018,south
vermilion morsel,$4.99 ,600,5/23/2018,east
vermilion morsel,$4.99 ,577,5/23/2018,west
lapis morsel,$1.99 ,531,5/23/2018,north
lapis morsel,$1.99 ,507,5/23/2018,south
lapis morsel,$1.99 ,577,5/23/2018,east
lapis morsel,$1.99 ,510,5/23/2018,west
pink morsel,$3.00 ,508,5/24/2018,north
pink morsel,$3.00 ,511,5/24/2018,south
pink morsel,$3.00 ,565,5/24/2018,east
pink morsel,$3.00 ,511,5/24/2018,west
gold morsel,$9.99 ,557,5/24/2018,north
gold morsel,$9.99 ,548,5/24/2018,south
gold morsel,$9.99 ,502,5/24/2018,east
gold morsel,$9.99 ,586,5/24/2018,west
magenta morsel,$2.50 ,560,5/24/2018,north
magenta morsel,$2.50 ,512,5/24/2018,south
magenta morsel,$2.50 ,543,5/24/2018,east
magenta morsel,$2.50 ,568,5/24/2018,west
chartreuse morsel,$3.00 ,547,5/24/2018,north
